Route_name,Route_link
Chennai to Bangalore,https://www.redbus.in/bus-tickets/chennai-to-bangalore?fromCityId=123&fromCityName=Chennai&toCityId=122&toCityName=Bangalore
Salem to Chennai,https://www.redbus.in/bus-tickets/chennai-to-salem?fromCityName=Chennai&fromCityId=123&srcCountry=IND&fromCityType=CITY&toCityName=Salem&toCityId=602&destCountry=undefined&toCityType=CITY
